Train Epoch: 1 [0/100000]		Loss: 0.1871 (0.1871) 	Acc: 58.33% (58.33%) 	Emb_Norm: 17.06 (17.06)
Train Epoch: 1 [2400/100000]	Loss: 0.2102 (0.2007) 	Acc: 45.83% (51.82%) 	Emb_Norm: 4.33 (5.45)
Train Epoch: 1 [55200/100000]	Loss: 0.1403 (0.1638) 	Acc: 66.67% (62.05%) 	Emb_Norm: 5.02 (4.58)
Train Epoch: 1 [57600/100000]	Loss: 0.1277 (0.1623) 	Acc: 79.17% (62.41%) 	Emb_Norm: 4.66 (4.59)
Train Epoch: 1 [60000/100000]	Loss: 0.1040 (0.1608) 	Acc: 75.00% (62.80%) 	Emb_Norm: 4.93 (4.60)
Train Epoch: 1 [62400/100000]	Loss: 0.1125 (0.1594) 	Acc: 83.33% (63.19%) 	Emb_Norm: 5.33 (4.62)
Train Epoch: 1 [64800/100000]	Loss: 0.0887 (0.1581) 	Acc: 83.33% (63.58%) 	Emb_Norm: 4.87 (4.64)
Train Epoch: 1 [67200/100000]	Loss: 0.1457 (0.1566) 	Acc: 75.00% (63.99%) 	Emb_Norm: 4.48 (4.65)
Train Epoch: 1 [69600/100000]	Loss: 0.1298 (0.1553) 	Acc: 87.50% (64.35%) 	Emb_Norm: 5.58 (4.66)
Train Epoch: 1 [72000/100000]	Loss: 0.1108 (0.1540) 	Acc: 75.00% (64.70%) 	Emb_Norm: 4.91 (4.68)
Train Epoch: 1 [74400/100000]	Loss: 0.1173 (0.1528) 	Acc: 79.17% (65.00%) 	Emb_Norm: 5.21 (4.70)
Train Epoch: 1 [76800/100000]	Loss: 0.1114 (0.1516) 	Acc: 79.17% (65.32%) 	Emb_Norm: 5.17 (4.71)
Train Epoch: 1 [79200/100000]	Loss: 0.1123 (0.1505) 	Acc: 79.17% (65.60%) 	Emb_Norm: 4.94 (4.72)
Train Epoch: 1 [81600/100000]	Loss: 0.1015 (0.1496) 	Acc: 79.17% (65.86%) 	Emb_Norm: 5.50 (4.74)
Train Epoch: 1 [84000/100000]	Loss: 0.1033 (0.1485) 	Acc: 83.33% (66.13%) 	Emb_Norm: 5.31 (4.75)
Train Epoch: 1 [86400/100000]	Loss: 0.1016 (0.1475) 	Acc: 70.83% (66.42%) 	Emb_Norm: 5.08 (4.76)
Train Epoch: 1 [88800/100000]	Loss: 0.1142 (0.1466) 	Acc: 83.33% (66.67%) 	Emb_Norm: 5.36 (4.76)
Train Epoch: 1 [91200/100000]	Loss: 0.1088 (0.1457) 	Acc: 70.83% (66.91%) 	Emb_Norm: 4.97 (4.76)
Train Epoch: 1 [93600/100000]	Loss: 0.1499 (0.1448) 	Acc: 66.67% (67.18%) 	Emb_Norm: 4.75 (4.77)
Train Epoch: 1 [96000/100000]	Loss: 0.1136 (0.1438) 	Acc: 79.17% (67.45%) 	Emb_Norm: 4.99 (4.77)
Train Epoch: 1 [98400/100000]	Loss: 0.1188 (0.1429) 	Acc: 83.33% (67.69%) 	Emb_Norm: 4.86 (4.77)

Test set: Average loss: 0.1167, Accuracy: 75.04%

Train Epoch: 2 [0/100000]	Loss: 0.1267 (0.1267) 	Acc: 83.33% (83.33%) 	Emb_Norm: 5.06 (5.06)
Train Epoch: 2 [2400/100000]	Loss: 0.0595 (0.1119) 	Acc: 91.67% (76.28%) 	Emb_Norm: 5.20 (4.91)
Train Epoch: 2 [4800/100000]	Loss: 0.1053 (0.1078) 	Acc: 79.17% (77.18%) 	Emb_Norm: 5.17 (4.91)
Train Epoch: 2 [7200/100000]	Loss: 0.1353 (0.1079) 	Acc: 79.17% (77.19%) 	Emb_Norm: 4.67 (4.85)
Train Epoch: 2 [9600/100000]	Loss: 0.1068 (0.1090) 	Acc: 70.83% (76.96%) 	Emb_Norm: 4.73 (4.82)
Train Epoch: 2 [12000/100000]	Loss: 0.0621 (0.1088) 	Acc: 91.67% (77.06%) 	Emb_Norm: 4.86 (4.81)
Train Epoch: 2 [14400/100000]	Loss: 0.1649 (0.1088) 	Acc: 58.33% (77.10%) 	Emb_Norm: 5.13 (4.83)
Train Epoch: 2 [16800/100000]	Loss: 0.0577 (0.1077) 	Acc: 87.50% (77.44%) 	Emb_Norm: 5.15 (4.83)
Train Epoch: 2 [19200/100000]	Loss: 0.1008 (0.1076) 	Acc: 79.17% (77.52%) 	Emb_Norm: 4.70 (4.85)
Train Epoch: 2 [21600/100000]	Loss: 0.1157 (0.1070) 	Acc: 75.00% (77.64%) 	Emb_Norm: 4.80 (4.84)
Train Epoch: 2 [24000/100000]	Loss: 0.0855 (0.1065) 	Acc: 83.33% (77.77%) 	Emb_Norm: 4.61 (4.83)
Train Epoch: 2 [26400/100000]	Loss: 0.0880 (0.1066) 	Acc: 70.83% (77.68%) 	Emb_Norm: 4.62 (4.82)
Train Epoch: 2 [28800/100000]	Loss: 0.1171 (0.1066) 	Acc: 75.00% (77.70%) 	Emb_Norm: 4.41 (4.82)
Train Epoch: 2 [31200/100000]	Loss: 0.0945 (0.1060) 	Acc: 75.00% (77.71%) 	Emb_Norm: 5.15 (4.81)
Train Epoch: 2 [33600/100000]	Loss: 0.0814 (0.1057) 	Acc: 83.33% (77.78%) 	Emb_Norm: 4.87 (4.81)
Train Epoch: 2 [36000/100000]	Loss: 0.0671 (0.1051) 	Acc: 83.33% (77.95%) 	Emb_Norm: 4.72 (4.81)
Train Epoch: 2 [38400/100000]	Loss: 0.1232 (0.1048) 	Acc: 66.67% (77.99%) 	Emb_Norm: 4.70 (4.81)
Train Epoch: 2 [40800/100000]	Loss: 0.1434 (0.1046) 	Acc: 66.67% (78.02%) 	Emb_Norm: 4.48 (4.79)
Train Epoch: 2 [43200/100000]	Loss: 0.1077 (0.1045) 	Acc: 70.83% (78.00%) 	Emb_Norm: 4.85 (4.79)
Train Epoch: 2 [45600/100000]	Loss: 0.1091 (0.1042) 	Acc: 70.83% (78.09%) 	Emb_Norm: 4.41 (4.79)
Train Epoch: 2 [48000/100000]	Loss: 0.0730 (0.1041) 	Acc: 83.33% (78.08%) 	Emb_Norm: 4.46 (4.78)
Train Epoch: 2 [50400/100000]	Loss: 0.1065 (0.1038) 	Acc: 70.83% (78.14%) 	Emb_Norm: 4.52 (4.79)
Train Epoch: 2 [52800/100000]	Loss: 0.0949 (0.1036) 	Acc: 79.17% (78.18%) 	Emb_Norm: 4.72 (4.80)
Train Epoch: 2 [55200/100000]	Loss: 0.1407 (0.1034) 	Acc: 75.00% (78.19%) 	Emb_Norm: 4.55 (4.79)
Train Epoch: 2 [57600/100000]	Loss: 0.0926 (0.1031) 	Acc: 83.33% (78.28%) 	Emb_Norm: 4.65 (4.79)
Train Epoch: 2 [60000/100000]	Loss: 0.1316 (0.1029) 	Acc: 75.00% (78.28%) 	Emb_Norm: 4.66 (4.79)
Train Epoch: 2 [62400/100000]	Loss: 0.1054 (0.1026) 	Acc: 66.67% (78.32%) 	Emb_Norm: 4.32 (4.79)
Train Epoch: 2 [64800/100000]	Loss: 0.1368 (0.1026) 	Acc: 70.83% (78.34%) 	Emb_Norm: 5.01 (4.79)
Train Epoch: 2 [67200/100000]	Loss: 0.0486 (0.1025) 	Acc: 91.67% (78.35%) 	Emb_Norm: 5.20 (4.80)
Train Epoch: 2 [69600/100000]	Loss: 0.0687 (0.1023) 	Acc: 87.50% (78.37%) 	Emb_Norm: 4.82 (4.80)
Train Epoch: 2 [72000/100000]	Loss: 0.0736 (0.1022) 	Acc: 83.33% (78.39%) 	Emb_Norm: 4.81 (4.79)
Train Epoch: 2 [74400/100000]	Loss: 0.0675 (0.1021) 	Acc: 95.83% (78.43%) 	Emb_Norm: 5.30 (4.80)
Train Epoch: 2 [76800/100000]	Loss: 0.1156 (0.1019) 	Acc: 79.17% (78.44%) 	Emb_Norm: 4.53 (4.79)
Train Epoch: 2 [79200/100000]	Loss: 0.0770 (0.1017) 	Acc: 91.67% (78.46%) 	Emb_Norm: 4.52 (4.79)
Train Epoch: 2 [81600/100000]	Loss: 0.0688 (0.1013) 	Acc: 87.50% (78.55%) 	Emb_Norm: 4.05 (4.79)
Train Epoch: 2 [84000/100000]	Loss: 0.1044 (0.1012) 	Acc: 83.33% (78.58%) 	Emb_Norm: 4.60 (4.79)
Train Epoch: 2 [86400/100000]	Loss: 0.0926 (0.1010) 	Acc: 83.33% (78.63%) 	Emb_Norm: 5.26 (4.79)
Train Epoch: 2 [88800/100000]	Loss: 0.0912 (0.1009) 	Acc: 83.33% (78.66%) 	Emb_Norm: 4.17 (4.79)
Train Epoch: 2 [91200/100000]	Loss: 0.0892 (0.1006) 	Acc: 83.33% (78.72%) 	Emb_Norm: 5.41 (4.79)
Train Epoch: 2 [93600/100000]	Loss: 0.0720 (0.1005) 	Acc: 79.17% (78.75%) 	Emb_Norm: 4.41 (4.80)
Train Epoch: 2 [96000/100000]	Loss: 0.1705 (0.1002) 	Acc: 58.33% (78.81%) 	Emb_Norm: 4.57 (4.79)
Train Epoch: 2 [98400/100000]	Loss: 0.0747 (0.1000) 	Acc: 87.50% (78.85%) 	Emb_Norm: 4.98 (4.79)

Test set: Average loss: 0.1061, Accuracy: 77.25%

Train Epoch: 3 [0/100000]	Loss: 0.1220 (0.1220) 	Acc: 79.17% (79.17%) 	Emb_Norm: 4.46 (4.46)
Train Epoch: 3 [2400/100000]	Loss: 0.0958 (0.0913) 	Acc: 79.17% (81.35%) 	Emb_Norm: 4.90 (4.80)
Train Epoch: 3 [4800/100000]	Loss: 0.0632 (0.0886) 	Acc: 87.50% (81.76%) 	Emb_Norm: 5.14 (4.82)
Train Epoch: 3 [7200/100000]	Loss: 0.0920 (0.0914) 	Acc: 83.33% (80.88%) 	Emb_Norm: 4.58 (4.79)
Train Epoch: 3 [9600/100000]	Loss: 0.0851 (0.0920) 	Acc: 83.33% (80.75%) 	Emb_Norm: 4.51 (4.69)
Train Epoch: 3 [12000/100000]	Loss: 0.1424 (0.0901) 	Acc: 66.67% (81.22%) 	Emb_Norm: 4.28 (4.67)
Train Epoch: 3 [14400/100000]	Loss: 0.1081 (0.0903) 	Acc: 75.00% (81.06%) 	Emb_Norm: 4.03 (4.67)
Train Epoch: 3 [16800/100000]	Loss: 0.1031 (0.0903) 	Acc: 79.17% (80.99%) 	Emb_Norm: 4.35 (4.68)
Train Epoch: 3 [19200/100000]	Loss: 0.0681 (0.0900) 	Acc: 87.50% (81.11%) 	Emb_Norm: 4.44 (4.67)
Train Epoch: 3 [21600/100000]	Loss: 0.1301 (0.0904) 	Acc: 66.67% (81.00%) 	Emb_Norm: 4.85 (4.68)
Train Epoch: 3 [24000/100000]	Loss: 0.1523 (0.0902) 	Acc: 58.33% (81.02%) 	Emb_Norm: 4.53 (4.69)
Train Epoch: 3 [26400/100000]	Loss: 0.1020 (0.0895) 	Acc: 83.33% (81.24%) 	Emb_Norm: 5.92 (4.70)
Train Epoch: 3 [28800/100000]	Loss: 0.0726 (0.0887) 	Acc: 83.33% (81.42%) 	Emb_Norm: 5.45 (4.72)
Train Epoch: 3 [31200/100000]	Loss: 0.0555 (0.0881) 	Acc: 83.33% (81.55%) 	Emb_Norm: 4.00 (4.72)
Train Epoch: 3 [33600/100000]	Loss: 0.0759 (0.0880) 	Acc: 83.33% (81.56%) 	Emb_Norm: 4.79 (4.72)
Train Epoch: 3 [36000/100000]	Loss: 0.1640 (0.0877) 	Acc: 75.00% (81.62%) 	Emb_Norm: 4.57 (4.71)
Train Epoch: 3 [38400/100000]	Loss: 0.2138 (0.0875) 	Acc: 45.83% (81.67%) 	Emb_Norm: 4.72 (4.71)
Train Epoch: 3 [40800/100000]	Loss: 0.1310 (0.0873) 	Acc: 62.50% (81.75%) 	Emb_Norm: 4.80 (4.71)
Train Epoch: 3 [43200/100000]	Loss: 0.1150 (0.0871) 	Acc: 66.67% (81.82%) 	Emb_Norm: 4.99 (4.71)
Train Epoch: 3 [45600/100000]	Loss: 0.0649 (0.0868) 	Acc: 87.50% (81.92%) 	Emb_Norm: 5.29 (4.72)
Train Epoch: 3 [48000/100000]	Loss: 0.1166 (0.0864) 	Acc: 75.00% (82.00%) 	Emb_Norm: 5.33 (4.72)
Train Epoch: 3 [50400/100000]	Loss: 0.0342 (0.0858) 	Acc: 100.00% (82.14%) 	Emb_Norm: 5.59 (4.72)
Train Epoch: 3 [52800/100000]	Loss: 0.0831 (0.0858) 	Acc: 83.33% (82.15%) 	Emb_Norm: 4.83 (4.74)
Train Epoch: 3 [55200/100000]	Loss: 0.0779 (0.0856) 	Acc: 87.50% (82.20%) 	Emb_Norm: 4.90 (4.73)
Train Epoch: 3 [57600/100000]	Loss: 0.1374 (0.0852) 	Acc: 70.83% (82.31%) 	Emb_Norm: 5.50 (4.73)
Train Epoch: 3 [60000/100000]	Loss: 0.0184 (0.0851) 	Acc: 100.00% (82.35%) 	Emb_Norm: 4.85 (4.73)
Train Epoch: 3 [62400/100000]	Loss: 0.0934 (0.0849) 	Acc: 79.17% (82.42%) 	Emb_Norm: 4.95 (4.74)
Train Epoch: 3 [64800/100000]	Loss: 0.0469 (0.0847) 	Acc: 100.00% (82.44%) 	Emb_Norm: 5.59 (4.74)
Train Epoch: 3 [67200/100000]	Loss: 0.1140 (0.0844) 	Acc: 75.00% (82.56%) 	Emb_Norm: 4.73 (4.74)
Train Epoch: 3 [69600/100000]	Loss: 0.0599 (0.0841) 	Acc: 83.33% (82.62%) 	Emb_Norm: 4.36 (4.74)
Train Epoch: 3 [72000/100000]	Loss: 0.1075 (0.0838) 	Acc: 70.83% (82.71%) 	Emb_Norm: 4.87 (4.74)
Train Epoch: 3 [74400/100000]	Loss: 0.1044 (0.0834) 	Acc: 70.83% (82.79%) 	Emb_Norm: 4.66 (4.74)
Train Epoch: 3 [76800/100000]	Loss: 0.1009 (0.0830) 	Acc: 70.83% (82.87%) 	Emb_Norm: 4.96 (4.74)
Train Epoch: 3 [79200/100000]	Loss: 0.0739 (0.0825) 	Acc: 79.17% (82.97%) 	Emb_Norm: 5.11 (4.74)
Train Epoch: 3 [81600/100000]	Loss: 0.0942 (0.0822) 	Acc: 79.17% (83.05%) 	Emb_Norm: 5.32 (4.75)
Train Epoch: 3 [84000/100000]	Loss: 0.0366 (0.0824) 	Acc: 95.83% (83.05%) 	Emb_Norm: 4.94 (4.75)
Train Epoch: 3 [86400/100000]	Loss: 0.0246 (0.0820) 	Acc: 95.83% (83.13%) 	Emb_Norm: 4.18 (4.75)
Train Epoch: 3 [88800/100000]	Loss: 0.0926 (0.0822) 	Acc: 79.17% (83.09%) 	Emb_Norm: 4.78 (4.75)
Train Epoch: 3 [91200/100000]	Loss: 0.0486 (0.0819) 	Acc: 79.17% (83.15%) 	Emb_Norm: 4.60 (4.74)
Train Epoch: 3 [93600/100000]	Loss: 0.0312 (0.0819) 	Acc: 95.83% (83.16%) 	Emb_Norm: 5.21 (4.74)
Train Epoch: 3 [96000/100000]	Loss: 0.1651 (0.0819) 	Acc: 62.50% (83.17%) 	Emb_Norm: 4.53 (4.74)
Train Epoch: 3 [98400/100000]	Loss: 0.0975 (0.0818) 	Acc: 75.00% (83.18%) 	Emb_Norm: 4.68 (4.74)

Test set: Average loss: 0.1014, Accuracy: 78.78%

Train Epoch: 4 [0/100000]	Loss: 0.0515 (0.0515) 	Acc: 91.67% (91.67%) 	Emb_Norm: 4.61 (4.61)
Train Epoch: 4 [2400/100000]	Loss: 0.1203 (0.0818) 	Acc: 66.67% (83.37%) 	Emb_Norm: 4.21 (4.81)
Train Epoch: 4 [4800/100000]	Loss: 0.0153 (0.0747) 	Acc: 100.00% (85.01%) 	Emb_Norm: 4.02 (4.65)
Train Epoch: 4 [7200/100000]	Loss: 0.1982 (0.0727) 	Acc: 58.33% (85.20%) 	Emb_Norm: 3.75 (4.71)
Train Epoch: 4 [9600/100000]	Loss: 0.0520 (0.0720) 	Acc: 87.50% (85.15%) 	Emb_Norm: 4.47 (4.75)
Train Epoch: 4 [12000/100000]	Loss: 0.0701 (0.0723) 	Acc: 87.50% (85.18%) 	Emb_Norm: 4.40 (4.78)
Train Epoch: 4 [14400/100000]	Loss: 0.0628 (0.0720) 	Acc: 83.33% (85.36%) 	Emb_Norm: 4.43 (4.82)
Train Epoch: 4 [16800/100000]	Loss: 0.0461 (0.0716) 	Acc: 91.67% (85.51%) 	Emb_Norm: 4.98 (4.83)
Train Epoch: 4 [19200/100000]	Loss: 0.1242 (0.0721) 	Acc: 70.83% (85.33%) 	Emb_Norm: 3.85 (4.81)
Train Epoch: 4 [21600/100000]	Loss: 0.0603 (0.0719) 	Acc: 91.67% (85.45%) 	Emb_Norm: 3.91 (4.76)
Train Epoch: 4 [24000/100000]	Loss: 0.1236 (0.0719) 	Acc: 66.67% (85.43%) 	Emb_Norm: 3.95 (4.79)
Train Epoch: 4 [26400/100000]	Loss: 0.0111 (0.0728) 	Acc: 95.83% (85.23%) 	Emb_Norm: 4.59 (4.81)
Train Epoch: 4 [28800/100000]	Loss: 0.1021 (0.0724) 	Acc: 79.17% (85.31%) 	Emb_Norm: 4.76 (4.80)
Train Epoch: 4 [31200/100000]	Loss: 0.0702 (0.0730) 	Acc: 83.33% (85.21%) 	Emb_Norm: 4.23 (4.81)
Train Epoch: 4 [33600/100000]	Loss: 0.0841 (0.0730) 	Acc: 87.50% (85.18%) 	Emb_Norm: 5.54 (4.82)
Train Epoch: 4 [36000/100000]	Loss: 0.0155 (0.0733) 	Acc: 100.00% (85.11%) 	Emb_Norm: 4.78 (4.83)
Train Epoch: 4 [38400/100000]	Loss: 0.0073 (0.0734) 	Acc: 100.00% (85.05%) 	Emb_Norm: 4.57 (4.83)
Train Epoch: 4 [40800/100000]	Loss: 0.0445 (0.0732) 	Acc: 91.67% (85.06%) 	Emb_Norm: 5.81 (4.82)
Train Epoch: 4 [43200/100000]	Loss: 0.0518 (0.0732) 	Acc: 87.50% (85.06%) 	Emb_Norm: 4.56 (4.83)
Train Epoch: 4 [45600/100000]	Loss: 0.0316 (0.0734) 	Acc: 100.00% (85.01%) 	Emb_Norm: 4.54 (4.82)
Train Epoch: 4 [48000/100000]	Loss: 0.0000 (0.0733) 	Acc: 100.00% (85.04%) 	Emb_Norm: 5.12 (4.83)
Train Epoch: 4 [50400/100000]	Loss: 0.0597 (0.0732) 	Acc: 79.17% (85.08%) 	Emb_Norm: 4.23 (4.83)
Train Epoch: 4 [52800/100000]	Loss: 0.0551 (0.0731) 	Acc: 83.33% (85.13%) 	Emb_Norm: 4.54 (4.84)
Train Epoch: 4 [55200/100000]	Loss: 0.0383 (0.0731) 	Acc: 91.67% (85.13%) 	Emb_Norm: 6.22 (4.84)
Train Epoch: 4 [57600/100000]	Loss: 0.0040 (0.0732) 	Acc: 100.00% (85.11%) 	Emb_Norm: 4.09 (4.83)
Train Epoch: 4 [60000/100000]	Loss: 0.0282 (0.0731) 	Acc: 100.00% (85.13%) 	Emb_Norm: 5.26 (4.83)
Train Epoch: 4 [62400/100000]	Loss: 0.0783 (0.0730) 	Acc: 83.33% (85.15%) 	Emb_Norm: 4.16 (4.83)
Train Epoch: 4 [64800/100000]	Loss: 0.0845 (0.0728) 	Acc: 83.33% (85.18%) 	Emb_Norm: 4.42 (4.82)
Train Epoch: 4 [67200/100000]	Loss: 0.1043 (0.0726) 	Acc: 75.00% (85.23%) 	Emb_Norm: 4.82 (4.82)
Train Epoch: 4 [69600/100000]	Loss: 0.1388 (0.0726) 	Acc: 70.83% (85.24%) 	Emb_Norm: 4.31 (4.81)
Train Epoch: 4 [72000/100000]	Loss: 0.0700 (0.0728) 	Acc: 91.67% (85.16%) 	Emb_Norm: 4.85 (4.82)
Train Epoch: 4 [74400/100000]	Loss: 0.0288 (0.0726) 	Acc: 95.83% (85.23%) 	Emb_Norm: 4.69 (4.82)
Train Epoch: 4 [76800/100000]	Loss: 0.1076 (0.0724) 	Acc: 70.83% (85.25%) 	Emb_Norm: 4.44 (4.82)
Train Epoch: 4 [79200/100000]	Loss: 0.1922 (0.0723) 	Acc: 54.17% (85.31%) 	Emb_Norm: 7.43 (4.82)
Train Epoch: 4 [81600/100000]	Loss: 0.0752 (0.0719) 	Acc: 83.33% (85.40%) 	Emb_Norm: 4.29 (4.82)
Train Epoch: 4 [84000/100000]	Loss: 0.0691 (0.0717) 	Acc: 83.33% (85.42%) 	Emb_Norm: 4.44 (4.81)
Train Epoch: 4 [86400/100000]	Loss: 0.0504 (0.0718) 	Acc: 87.50% (85.38%) 	Emb_Norm: 4.72 (4.82)
Train Epoch: 4 [88800/100000]	Loss: 0.0842 (0.0715) 	Acc: 75.00% (85.44%) 	Emb_Norm: 4.43 (4.81)
Train Epoch: 4 [91200/100000]	Loss: 0.0986 (0.0713) 	Acc: 75.00% (85.50%) 	Emb_Norm: 5.77 (4.80)
Train Epoch: 4 [93600/100000]	Loss: 0.0942 (0.0711) 	Acc: 75.00% (85.55%) 	Emb_Norm: 5.23 (4.80)
Train Epoch: 4 [96000/100000]	Loss: 0.1486 (0.0709) 	Acc: 66.67% (85.60%) 	Emb_Norm: 5.26 (4.80)
Train Epoch: 4 [98400/100000]	Loss: 0.0547 (0.0708) 	Acc: 91.67% (85.64%) 	Emb_Norm: 5.39 (4.80)

Test set: Average loss: 0.0951, Accuracy: 80.23%

Train Epoch: 5 [0/100000]	Loss: 0.1179 (0.1179) 	Acc: 79.17% (79.17%) 	Emb_Norm: 5.01 (5.01)
Train Epoch: 5 [2400/100000]	Loss: 0.0788 (0.0649) 	Acc: 87.50% (86.51%) 	Emb_Norm: 3.67 (4.61)
Train Epoch: 5 [4800/100000]	Loss: 0.0746 (0.0678) 	Acc: 87.50% (86.55%) 	Emb_Norm: 3.62 (4.48)
Train Epoch: 5 [7200/100000]	Loss: 0.1336 (0.0652) 	Acc: 58.33% (87.46%) 	Emb_Norm: 3.97 (4.48)
Train Epoch: 5 [9600/100000]	Loss: 0.0151 (0.0638) 	Acc: 95.83% (87.47%) 	Emb_Norm: 4.91 (4.49)
Train Epoch: 5 [12000/100000]	Loss: 0.0535 (0.0644) 	Acc: 91.67% (87.37%) 	Emb_Norm: 4.55 (4.52)
Train Epoch: 5 [14400/100000]	Loss: 0.0091 (0.0659) 	Acc: 100.00% (87.06%) 	Emb_Norm: 3.99 (4.52)
Train Epoch: 5 [16800/100000]	Loss: 0.0669 (0.0667) 	Acc: 83.33% (86.87%) 	Emb_Norm: 4.28 (4.53)
Train Epoch: 5 [19200/100000]	Loss: 0.0012 (0.0660) 	Acc: 100.00% (87.04%) 	Emb_Norm: 4.87 (4.53)
Train Epoch: 5 [21600/100000]	Loss: 0.0893 (0.0657) 	Acc: 83.33% (87.04%) 	Emb_Norm: 3.61 (4.53)
Train Epoch: 5 [24000/100000]	Loss: 0.0988 (0.0657) 	Acc: 83.33% (86.99%) 	Emb_Norm: 4.06 (4.56)
Train Epoch: 5 [26400/100000]	Loss: 0.0198 (0.0661) 	Acc: 95.83% (86.88%) 	Emb_Norm: 3.85 (4.57)
Train Epoch: 5 [28800/100000]	Loss: 0.1179 (0.0663) 	Acc: 75.00% (86.83%) 	Emb_Norm: 3.96 (4.57)
Train Epoch: 5 [31200/100000]	Loss: 0.0156 (0.0667) 	Acc: 100.00% (86.70%) 	Emb_Norm: 3.62 (4.56)
Train Epoch: 5 [33600/100000]	Loss: 0.0920 (0.0670) 	Acc: 83.33% (86.65%) 	Emb_Norm: 4.86 (4.57)
Train Epoch: 5 [36000/100000]	Loss: 0.0409 (0.0669) 	Acc: 91.67% (86.67%) 	Emb_Norm: 4.55 (4.58)
Train Epoch: 5 [38400/100000]	Loss: 0.0805 (0.0667) 	Acc: 87.50% (86.77%) 	Emb_Norm: 4.47 (4.58)
Train Epoch: 5 [40800/100000]	Loss: 0.0072 (0.0667) 	Acc: 100.00% (86.81%) 	Emb_Norm: 4.30 (4.58)
Train Epoch: 5 [43200/100000]	Loss: 0.0263 (0.0666) 	Acc: 91.67% (86.85%) 	Emb_Norm: 4.41 (4.60)
Train Epoch: 5 [45600/100000]	Loss: 0.1410 (0.0665) 	Acc: 66.67% (86.81%) 	Emb_Norm: 3.81 (4.60)
Train Epoch: 5 [48000/100000]	Loss: 0.0918 (0.0668) 	Acc: 75.00% (86.72%) 	Emb_Norm: 5.00 (4.60)
Train Epoch: 5 [50400/100000]	Loss: 0.0358 (0.0669) 	Acc: 95.83% (86.66%) 	Emb_Norm: 4.05 (4.60)
